user_ID,high_school,test_ID,impression,Pass_or_Fail,subject_s/he_is_good_at
000770,4,"11,  41",example770,pass,çë
000771,2,23,example771,pass,óù
000772,2,23,example772,pass,é–
000773,1,13,example773,pass,é–
000774,3,"15,  32",example774,pass,óù
000775,2,24,example775,pass,êî
000776,2,"24,  51",example776,pass,é–
000777,1,"11,  31",example777,pass,êî
000778,3,"22,  32",example778,pass,óù
000779,5,"41,  51",example779,pass,é–
000780,3,31,example780,pass,óù
000781,2,21,example781,pass,óù
000782,3,31,example782,pass,óù
000783,2,22,example783,pass,çë
000784,3,"13,  31",example784,pass,âp
000785,1,15,example785,pass,é–
000786,2,23,example786,pass,é–
000787,3,"21,  33",example787,pass,é–
000788,2,"23,  33",example788,pass,óù
000789,3,"15,  32",example789,pass,âp
000790,3,"23,  31",example790,pass,êî
000791,1,"15,  31",example791,pass,âp
000792,3,"34,  52",example792,pass,êî
000793,2,24,example793,pass,êî
000794,2,22,example794,pass,êî
000795,4,"24,  41",example795,pass,óù
000796,1,14,example796,pass,é–
000797,1,12,example797,pass,óù
000798,4,"11,  41",example798,pass,çë
000799,3,34,example799,pass,é–
000800,2,24,example800,pass,é–
000801,1,"16,  52",example801,pass,âp
000802,2,24,example802,pass,âp
000803,1,15,example803,pass,âp
000804,1,11,example804,pass,çë
000805,2,21,example805,pass,çë
000806,1,"12,  33",example806,pass,êî
000807,1,14,example807,pass,âp
000808,3,34,example808,pass,çë
000809,2,21,example809,pass,êî
000810,3,"21,  34",example810,pass,óù
000811,2,23,example811,pass,âp
000812,1,12,example812,pass,çë
000813,1,"16,  51",example813,pass,óù
000814,3,"21,  33",example814,pass,êî
000815,3,33,example815,pass,óù
000816,2,21,example816,pass,êî
000817,1,13,example817,pass,é–
000818,1,"13,  33",example818,pass,çë
000819,3,"15,  35",example819,pass,é–
000820,1,14,example820,pass,âp
000821,3,35,example821,pass,çë
000822,3,34,example822,pass,êî
000823,2,23,example823,pass,âp
000824,1,"16,  31",example824,pass,é–
000825,3,"14,  35",example825,pass,çë
000826,2,22,example826,pass,êî
000827,1,"11,  31",example827,pass,óù
000828,5,"13,  52",example828,pass,çë
000829,1,13,example829,pass,êî
000830,5,"24,  51",example830,pass,çë
000831,2,"22,  31",example831,pass,çë
000832,3,"21,  33,  52",example832,pass,êî
000833,1,"14,  35",example833,pass,çë
000834,1,"11,  52",example834,pass,çë
000835,1,"11,  41",example835,pass,é–
000836,2,"22,  51",example836,pass,âp
000837,1,"15,  34",example837,pass,çë
000838,1,16,example838,pass,çë
000839,2,24,example839,pass,êî
000840,5,"21,  51",example840,pass,çë
000841,2,"21,  52",example841,pass,çë
000842,5,"33,  51",example842,pass,é–
000843,5,"14,  51",example843,pass,é–
000844,1,12,example844,pass,êî
000845,1,16,example845,pass,âp
000846,1,15,example846,pass,çë
000847,3,"14,  33",example847,pass,êî
000848,3,35,example848,pass,óù
000849,2,23,example849,pass,é–
000850,3,35,example850,pass,âp
000851,1,"16,  35",example851,pass,çë
000852,1,"11,  33",example852,pass,âp
000853,5,52,example853,pass,óù
000854,5,51,example854,pass,çë
000855,2,23,example855,pass,çë
000856,3,"13,  32",example856,pass,êî
000857,1,11,example857,pass,é–
000858,3,"35,  52",example858,pass,âp
000859,5,52,example859,pass,óù
000860,3,35,example860,pass,çë
000861,2,"21,  52",example861,pass,óù
000862,2,"21,  51",example862,pass,êî
000863,3,32,example863,pass,êî
000864,3,"16,  32",example864,pass,âp
000865,3,33,example865,pass,çë
000866,5,"13,  52",example866,pass,é–
000867,3,"13,  34",example867,pass,êî
000868,1,16,example868,pass,é–
000869,1,13,example869,pass,êî
000870,1,15,example870,pass,âp
000871,1,16,example871,pass,âp
000872,3,"24,  35",example872,pass,çë
000873,1,14,example873,pass,óù
000874,3,33,example874,pass,âp
000875,1,11,example875,pass,êî
000876,3,"34,  52",example876,pass,çë
000877,5,51,example877,pass,é–
000878,5,51,example878,pass,êî
000879,2,23,example879,pass,é–
000880,3,35,example880,pass,êî
000881,3,35,example881,pass,âp
000882,5,52,example882,pass,êî
000883,3,"16,  35",example883,pass,âp
000884,3,35,example884,pass,óù
000885,5,"14,  52",example885,pass,âp
000886,5,"14,  51",example886,pass,âp
000887,2,22,example887,pass,é–
000888,2,22,example888,pass,óù
000889,3,"12,  33",example889,pass,êî
000890,3,"14,  32",example890,pass,óù
000891,3,32,example891,pass,âp
000892,2,23,example892,pass,êî
000893,5,"16,  52",example893,pass,é–
000894,3,31,example894,pass,é–
000895,1,11,example895,pass,âp
000896,2,23,example896,pass,êî
000897,1,"12,  41",example897,pass,é–
000898,5,"15,  52",example898,pass,é–
000899,2,21,example899,pass,óù
000900,3,35,example900,pass,é–
000901,3,35,example901,pass,óù
000902,1,12,example902,pass,óù
000903,1,"14,  51",example903,pass,é–
000904,3,32,example904,pass,êî
000905,1,14,example905,pass,âp
000906,2,"22,  34",example906,pass,é–
000907,3,"13,  32",example907,pass,é–
000908,3,"14,  31,  51",example908,pass,êî
000909,1,"12,  51",example909,pass,óù
000910,3,"23,  35",example910,pass,çë
000911,2,21,example911,pass,óù
000912,3,"23,  33",example912,pass,é–
000913,5,"14,  35,  51",example913,pass,çë
000914,1,"13,  51",example914,pass,óù
000915,3,"24,  35",example915,pass,êî
000916,3,32,example916,pass,çë
000917,5,"41,  51",example917,pass,óù
000918,5,"11,  51",example918,pass,óù
000919,1,"15,  35",example919,pass,êî
000920,2,"24,  31",example920,pass,é–
000921,1,12,example921,pass,é–
000922,1,14,example922,pass,óù
000923,3,"24,  32",example923,pass,âp
000924,3,32,example924,pass,é–
000925,1,15,example925,pass,êî
000926,2,"22,  31",example926,pass,êî
000927,1,"15,  34",example927,pass,âp
000928,1,15,example928,pass,óù
000929,1,"15,  31",example929,pass,é–
000930,2,"23,  34",example930,pass,âp
000931,1,"16,  41",example931,pass,êî
000932,1,"16,  35,  52",example932,pass,çë
000933,5,"21,  52",example933,pass,çë
000934,5,51,example934,pass,êî
000935,2,"22,  31",example935,pass,âp
000936,3,"13,  35,  51",example936,pass,âp
000937,3,"33,  51",example937,pass,çë
000938,2,22,example938,pass,êî
000939,1,15,example939,pass,êî
000940,3,32,example940,pass,êî
000941,1,"12,  31,  52",example941,pass,óù
000942,2,23,example942,pass,óù
000943,3,"16,  35",example943,pass,çë
000944,3,33,example944,pass,âp
000945,2,24,example945,pass,çë
000946,1,"14,  35,  51",example946,pass,âp
000947,2,22,example947,pass,âp
000948,1,16,example948,pass,óù
000949,4,"23,  41,  52",example949,pass,êî
000950,2,21,example950,pass,êî
000951,3,"23,  33",example951,pass,é–
000952,2,"24,  34",example952,pass,êî
000953,5,"33,  51",example953,pass,óù
000954,2,"24,  33",example954,pass,óù
000955,1,"15,  51",example955,pass,é–
000956,1,11,example956,pass,óù
000957,5,"12,  52",example957,pass,é–
000958,3,"16,  33",example958,pass,âp
000959,1,14,example959,pass,çë
000960,1,12,example960,pass,âp
000961,1,13,example961,pass,çë
000962,2,22,example962,pass,óù
000963,1,"12,  32",example963,pass,âp
000964,2,"22,  52",example964,pass,é–
000965,1,16,example965,pass,é–
000966,3,"15,  32",example966,pass,óù
000967,3,35,example967,pass,é–
000968,3,35,example968,pass,çë
000969,3,"22,  31",example969,pass,é–
000970,5,"21,  51",example970,pass,êî
000971,4,41,example971,pass,óù
000972,2,24,example972,pass,âp
000973,3,34,example973,pass,çë
000974,2,21,example974,pass,êî
000975,3,31,example975,pass,óù
000976,1,12,example976,pass,âp
000977,3,33,example977,pass,âp
000978,2,21,example978,pass,êî
000979,1,11,example979,pass,êî
000980,2,"21,  52",example980,pass,âp
000981,2,22,example981,pass,é–
000982,3,"13,  34",example982,pass,óù
000983,2,"23,  41",example983,pass,êî
000984,2,"24,  32",example984,pass,êî
000985,2,"22,  34",example985,pass,âp
000986,5,52,example986,pass,âp
000987,1,11,example987,pass,é–
000988,3,34,example988,pass,âp
000989,4,41,example989,pass,êî
000990,1,"13,  51",example990,pass,âp
000991,1,14,example991,pass,é–
000992,4,"41,  52",example992,pass,óù
000993,2,24,example993,pass,é–
000994,3,33,example994,pass,çë
000995,3,32,example995,pass,êî
000996,1,"14,  33",example996,pass,óù
000997,3,"21,  34",example997,pass,êî
000998,5,"12,  51",example998,pass,óù
000999,1,"14,  51",example999,pass,âp
